resource_id,description
ckz2780v81616693jy3gbg4dpdz,"Fridays: Provides tickets as early as 6:30 AM and the distribution starts at 11:30 AM. Serves 250 families.
Saturdays: Grab and Go meals provided to 300 guest. Starts at 11:30 until food supplies last."
cl2iki0vc000404xq7wp8yv01,"Visit early, start giving out tickets around 8am"
ckytnl2nf175393hvs3kto93vd,"- To make an appointment call (908) 352-7057. The Food pantry is only the first  ten days of month Monday to Friday and the Soup kitchen is the last ten days of the month Monday to Friday
- Needs volunteers"
ckz8l21h63034693orc219d6tif,"If you have a smartphone you’re comfortable using, the easiest way to apply for SNAP is to complete the application online, then download the mobile app to submit the required documents. Here’s the link to the online application: https://www.compass.state.pa.us/compass.web/Public/CMPHome The mobile app is called “myCOMPASS PA App”. After you complete the application questions on the website, you can connect your account to the app & use your phone camera to take pictures of docs you have to submit! Another easy way to apply would be over the phone with this number: 1-866-550-4355"
ckz26tyu71586763jy3gsvdod8g,"On Sundays, we offer ready-to-eat meals, and on Thursdays, we distribute non-perishable pantry items. Both programs are held at the side entrance on Liberty Ave.

When you arrive, please join the line, have your ID ready, and follow the guidance of our volunteers."
515,"Client Registration and appointments can be done/made digitally now and the verification process can occur in person or over the phone with a member services associate. However, in-person services are still available: on Wednesdays at our main location, 2424 Jerome Ave, from 9a -12p ONLY.

Closed: 
* Thanksgiving week
* Last two weeks of December"
ckx2162e417763nxn3mm2c3ux,Client can visit once a week
1081,"- Requires ticket but you will still be served, priority is given to those with tickets.
- Tickets are taken in person at 9am
- Mondays are open because they have no idea when the truck willl arrive . please call ahead"
cl80p8nnu00590gme6nszmld9,"Catholic Charities Community Services can help you apply for SNAP online. Our highly trained staff can help you gather the information you need and guide you through the process. Most staff is bilingual in English and Spanish.

Help Line: 1-888-744-7900"
clh0v2k510000md0frghas5bf,"serves north carolina residents

Photo ID  – Primary Participant (Green Card or Passport)"
950,* Needs volunteers
40,"- Only serves residents of the woodside area
- Any minor woud require an adult due to the id requirement to sign in
- Client can visit once a week"
clr87yt900f8wn7hjmsebuh8y,"- Distribution held in miracle hall
- Distributes food and cloth
- Clients can visit once a month"
235,"* **Use the Plentiful app to  schedule an appointment as the schedule may vary if there's a church event**
* Pantry is open on Friday but you need to create an appointment on the plentiful app to see which days are open.
* Needs volunteers"
1563,Lines starts forming early so recommended to arrive earlier than  nine
clidfmaaw00buqm0hlok9995t,"When completing a SNAP application/Redetermination, these are some of the documents we may need to 
complete your application. Call us for more information or assistance: 
 Picture I.D. 
 Social Security Card 
 Social Security award letter (if being received) 
 Pension Letter (if being received) 
 Most recent paystubs worth a month or a letter 
from your employer (if you are working) 
 Most recent BG&E bill and or other utilities that 
you are paying right now (if you pay utilities) 
 Copy of your most recent rent bill or mortgage (if 
you pay any) 
 Copy of monthly pharmacy bill (a printout 
summary, if you pay $35.00 or more out of pocket) 
 Copy of health insurance payment (if you pay out 
of pocket each month) 
 Copy of medical bills and co pays already paid 
(invoices and or bank statements, if you pay) 
 Copy of Lease Agreement (if you pay)"
1374,"(Closed July & August)
Line starts forming  as early as 7am"
cky24mnl3001604tn56y7fika,"For walk-ins. Please contact (215)-586-9551
1 food box per household
Food can be picked up from vehicle
Advised to arrive 2 hours early to receive food"
cllwkrir401atmq0hbs85newu,"SNAP, formerly known as the Food Stamp Program, is the nation’s most important anti-hunger program. SNAP provides nutritional support for low-income seniors, people with disabilities living on fixed incomes, and other individuals and families with low incomes. SNAP is a federal program administered by the Florida Department of Children and Families Office of Economic Self-Sufficiency (ESS). ESS is responsible for determining eligibility for SNAP using federal guidelines. Households can use food assistance benefits to buy breads, cereals, fruits, vegetables, meats, fish, poultry, dairy, and plants and seeds to grow food for your household to eat. For more information on how to apply: https://myaccess.myflfamilies.com/


Registration on website required"
1378,Stamp cards are for regular users or who have gone to the pantry at least once before
clo2v3g1c19lbs50falp5q4gy,"Community Center Services Organization provides on‑site food pantry distributions, periodic community meals, a mobile pantry serving nearby neighborhoods, occasional clothing distributions, and free educational and community services."
clr87t5w50f6qn7hjidu2ymdf,"* Clients must have: * a picture ID for all adults in the household * Birth certificate or SS card for children * A bill, lease, hotel receipt, something in their name verifying their current address within 90 days.
* Only serve the Gwinette side of shared zipcoces"
1444,"- There is a waiting list, so please call in advance!- 7186307186
- Must have an appoinment before going in to pick up food.
- Must go through a councelling session.
- Currently have limited food supply"
ckxexc1k202780413r9re7rd2,"Lasagna Love feeds families, spreads kindness and strengthens community.  Sign up online & get matched to a volunteer in your community who will deliver a free home-cooked lasagna. Fulfillment time depends on where you live – it can take several weeks to receive food. Enter your zip code here to see the expected wait time:   https://lasagnalove.org/zip-code/

We do not have any qualifications to receive a meal. We understand that need comes in many forms and they are not always financial. Our core values are to feed families, spread kindness, and strengthen communities. You can visit us at https://www.lasagnalove.org/ to see more about how the process works. I've also attached a couple of resources that provide information about Lasagna Love. 

You may have times where you know of families in need. You can share the attached flyer with families, and you can also nominate families by going to https://www.lasagnalove.org/nominate/. Once a nomination has been made, Lasagna Love sends the nominated family a text with a link to sign up. It is up to the family to decide if they would like to send in their request for a meal. This allows us to verify any food allergy or dietary needs with the family. They will then be contacted directly by a volunteer once they are matched! 


Request a meal here: https://lasagnalove.org/request-a-meal/"
1324,"* Needs volunteers
* Client can visit twice a month"
cl4dq7c5l001404s0jq9wece9,"Feast of Justice serves 11 Northeast Philadelphia zip codes: 19111, 19114, 19115, 19116, 19120, 19124, 19135, 19136, 19149, 19152, and 19154. 
* **You are only qualified to register if you live in one of these zip codes.** 
* The registration is for the full household; there can be only one registration per household.
* There is NO income requirement to be able to receive food at Feast of Justice. 
* ID is recommended to expedite the registration process, but not required.
* Guests can get food 1 time each month.
* If you are registered for our Feast of Justice Northeast Services Hub location, you do not need to register again. (You can visit either location, but you can only get food from one of our locations each month).

**Action steps to take - visit https://www.feastofjustice.org/registration** to view: 
1.  up-to-date information about how to get registered
2. a **link to complete the online application**
3.  **registration hours specific to first-time guests**
4. It is recommended to schedule a registration appointment; walk-ups are served after appointments, on a first-come, first served basis during registration hours."
760,"* Needs volunteers
* Client can visit once a week"
23,"- The food pantry is only open 3 Saturdays of the month. 
- Our close dates are publically posted on the front wall of the facility."
998,"Tickets distributed on Wednesdays at 8am
Line starts at 7am or maybe early"
cli4y0380024bvy025zoglzoc,"* Arrive early to receive a ticket in line. 
* Client can visit once a week
* Kaye Prox offers distributions of groceries for families experiencing food insecurity in our local area (Tampa zip codes 33615, 33614, 33625, 33626, 33634, 33635).  We check ID at first visit, and we require that clients register with us if they decide to return for a second visit (we have a form they can fill out).

On-site registration required"
1296,"Open every Thursday from 8:30 AM to 10:30 AM, except on holidays, and by appointment only.

Please bring any government-issued ID (Medicare or Medicaid is accepted).

Appointment slots for new clients open at 10:00 AM."
clh0vbnxl0012l90f3e3dqsxj,"Call (704)529-5888 to make an appointment. No walk-ins will be allowed/accepted.
 - Be sure to call 7045295888 to set up appointments 
 - call on weekdays as they are cosed on weekends"
1191,"Sign up on www.plentiful.com. Make sure you input your valid mobile number and an email address to be notified of any pantry closings.

Requires ID for adults and birth certificates for children in the household

On-site registration required"
ckyenuvxp005e04vt1id5hhps,"- Schedule might change in case. Please check out their Facebook page for further details
- Only serves the neighborhood.

Facebook: https://www.facebook.com/dvinekwny/

Instagram: https://www.instagram.com/dvinekwny/

Only serves surrounding neighborhood"
533,- Closed on the fifth Wednesday of the month.
772,We offer free hot meals to-go and pantry groceries on Tuesdays and Saturdays. Clients must select either a hot meal or pantry groceries; they cannot take both in one visit. Clients can only take pantry groceries once a week.
cl9sjhbww0000l90ff0akhmz7,"* There is a separate line for people with an appointment. Appointments are given in person. After you receive food, you will be given an appointment for the next distribution date.
* Closed is weather is bad. 
* Client can visit once a week
* Needs volunteers"
897,"* Part of the Solution POTS pantry services will provide you with healthy groceries to help ensure you have enough food for your household. 

* Each household may obtain groceries from the Food Pantry once a month. To register, come to POTS between Monday and Saturday from 8:30 AM -11:30 AM. 

* Community Dining Room (Soup Kitchen) 12:30 PM-3:00 PM - Monday-Saturday. Join us six days a week for a healthy lunch. 

* Case Management Walk-in days Mondays 8:30 AM - 11:00 AM Tuesdays and Thursdays 8:30 AM - 4:00 PM.

On-site registration required"
594,"she started giving out ticket at 8am , and serve 10am to 11am ,"
cle82eqxt028u0d02rhk3vdo8,"- Schedule is subject to change incase of anything.
- Lines start forming at 10 am."
cli4y08y7028nvy023toab296,"Registration at 8am to 9 am walkins
Registration for USDA/TEFAP: 8AM TO 12PM

On-site registration required"
ckz2jougt2345973jy3tdr7ce3g,"Appointments required for the food pantry, but not the soup kitchen. Call 718-335-3693 between 10am to 12pm, Mon-Fri.
First come first serve basis"
ckyenuvxp004m04vt6sc7a8k6,"* Ask for Rosa anytime you visit for help. 
* Might be closed on, during, and before holiday but will reschedule.
* Needs volunteers
* Serves first 200 people, please arrive early
* Client can visit once a month"
cli4y0kbw02mxvy02tgzszj8n,"The Berkeley Food Pantry is a part of the Feeding Minds school pantry program provided by Feeding 
Tampa Bay. Our mission is to provide food, clothes, and other necessities to our Town ‘n’ Country 
neighbors in need. 
 
Our address is 4546 Kelly Road, Tampa, FL 33615. We are open every other Saturday from 9:00 a.m. to 
11:00 a.m. 
June 14, 2025 
June 28, 2025 
July 12, 2025 
July 26, 2025 
August 9, 2025 
August 23, 2025 
September 6, 2025 
September 20, 2025 
October 4, 2025 
October 18, 2025 
November 1, 2025 
November 15, 2025 
November 29, 2025 
December 13, 2025 
December 27, 2025 

On-site registration required"
1394,"- Walkins are accepted but you will be required to wait until everyone who made an appointment via plentiful is served and therefore might miss out on some food.
- Appoinments are made via plentiful."
530,"""For a smoother experience, this is a grab-and-go meal site where trucks arrive sometimes earlier or later due to traffic. We recommend arriving 15 minutes before the scheduled time. If the truck is running late, please allow at least 15 minutes from the scheduled arrival time before inquiring."""
ckxz77tuj001k04z6ftnt4342,Pantry distribution may begin before 9am. Advisable to arrive early.
cli6fqymq0749pi0gcenbnnao,"Those residing in our surrounding Zip codes (33612, 33613, 33604). Outside of these zip codes still receive a small bag of food & are referred to a donor location within their domicile area. All clients must register onsite.

On-site registration required"
726,"To schedule an appointment, text ""FOOD"" to 726879* or log in here. https://app.plentifulapp.com/a/pantries"
cle82fng2040w0d02f2ikhje7,"The participants should enter the parking lot and go directly to the activity center.

On-site registration required"
ckxz77tui001504z6bmyh3olv,"* Please visit temporary Location for food 
* Location is closed due to renovation 435 Main Street Paterson, NJ 07501 Call 973-279-7100 x2108 for more information.
* Clients can visit twice a month
* Needs volunteers

Requires ID for adults and birth certificates for children in the household"
cljeq57tm01r8mk0ht3724acy,"The multi-lingual Resource Access Team at Community FoodBank of New Jersey is dedicated to ensuring that people in New Jersey get the assistance they need on a state and federal level. We offer free on-site pre-screenings to see if you qualify for SNAP (distributed via EBT, formerly food stamps), cash assistance, and the Low-Income Home Energy Assistance Program (LIHEAP). We will also talk to you about free school lunches and other assistance available to you.

https://calendar.google.com/calendar/u/0/embed?src=foodbankcommunity@gmail.com&ctz=America/New_York"
cle9ga81y000lla0fr8jhhanr,"Must have an existing residence or housing to receive groceries. Food pantry needs to know that there's a kitchen where the food is cooked.

No requirements for soup kitchen and sandwich lines."
1270,"The food pantry at 104 Roosevelt Avenue, Corona, NY is currently not distributing food. New registration for the Queens office and food distribution will resume on July 7th at 9:00 AM. Individuals can arrive as early as 8:30 or 8:35 AM. The end time for distribution is variable, depending on the number of people served. The only requirement for service is to bring an ID, and no appointment is necessary. For new registrations, please inquire on or after July 7th."
clgjvh9u7000kl20fdle75m0f,"- Serves Baltimore county residence 
- The food pantry is in rear of the building, in the basement. 
- Closed before, on, and after major holidays.
- If there are 5 weeks in a month the 5th friday is closed"
1204,On-site registration required
1220,"Distribution date will change after 27th May.
Next distribution will start from 3rd June every other week.
Pantry will be closed after 12th August distribution and will be open on 9th September"
cle82frab048c0d02hv47zhzq,"The only requirement we have is that participants fill out a form (once a year) providing their name, address, telephone number, number of person in their household, and email address, if they have one. We serve a hot meal and grocery items are distributed while supplies last. Gently used clothing is also available.

On-site registration required"
1391,On-site registration required
cle82f1l302vg0d021sswu36j,"Added entrance location in Address the building is at 5819 Eastpine Dr, Riverdale, MD 20737, United States"
cli4y0ese02gxvy022f2c5a87,"Registration done upon arrival. Advised to arrive early.

On-site registration required"
cl52o9xe41532234hu05zgtm60m,"Weekly client‑choice food pantry hosted at Harvest Fields Community Church and operated by Every Day is a Miracle, providing approximately 88 lb of balanced groceries per household and connecting clients to additional supports such as SNAP screenings. Registration can be completed online in advance or on‑site."
ckyv2xxu2976263kwa8frlj7j4,"Provides emergency grocery
packages equivalent to 20 meals
per family member
Call 973-710-3900 Ext. 424 for
more information

Must show a New Jersey photo ID

On-site registration required"
ckyenuvxl002k04vt4h6bax28,"* If you would like to get diapers, mother and child need to bring their birth certificates.
* Offeres job tranning and assistance
* Needs volunteers
* Client can visit once a day"
ckzn731vq771003nzey1fzckei,"* Serving zip codes; 11214, 11204, 11209, 11223.
* Needs volunteers
* Zip code restrictions
* Client can visit once a month"
cli4y0fi502hxvy02rk3uegj5,"- They are currently only operating one Saturday a month which is the fourth Saturday of the month. Events or changes within the organization might affect this schedule but the new schedule will be posted on a sign outside the church.

On-site registration required"
ckyy815uy230503lz5hbzzhhtw,"* To receive fresh produce on Wednesday you need to be in line at 9am, after receiving a token number, the client can leave and come back between 11am till 1pm to receive food.
* Needs volunteers"
ckz1am4nt51503mzt2w5ix72d,"* Serves Elizabeth residents only.
* PLEASE DIRECT ALL CALLS TO REGISTER FOR THE FOOD PANTRY PROGRAM OR PRESCRIPTION ASSISTANCE TO: 908-354-5456
* Please check there current month calendar. website is www.sjeliz.org because the community food bank sometimes changes their deliveries"
cljioyezq04gyl30heqpod3gk,Line starts at 12 pm
ckxexc1k302940413ezeuqnh9,"Walk in to make an appointment or call (718) 402.1212 Monday after 9:30am (appointments limited).
Bronx resident.
Valid ID.
Proof of address (for example: electric bill, phone bill, shelter residency letter). Once a month per household.
Schedule your appointment online now with Plentiful.
Walk-ins welcome on a first come first served basis without an appointment on Wednesdays beginning at 1:30pm while supplies last.
The Hopeline Center can help with all SNAP questions, whether you want to apply, recertify, or just update your case. They're available to help Monday-Wednesday from 9:30am-4:30pm. You can stop by during office hours or make an appointment first by calling  718-402-1212 x 104. Available in English or Spanish.
 
 To make appointment you can also text the word 'Hopeline' to 726879"
1418,"- Baby items may be available
-  They  may have emergency food on Sunday if they have anythink in store,please call ahead to confirm"
cle8fqt84000omh0f4yesk6k6,"CPACS SNAP HOTLINE: 678-824-6000
Open at 9 Am to reserve tickets and sign a book to register . But food giving time starts at 12:30."
1249,only taking in new clients due to lack of food
ckyenuvxt006q04vtge4zcso0,"* Requirements:
	* Proof of address Union County
	* SSI
	* SNAP

Mt. Teman’s Food Pantry is held on the fourth Thursday of the month; Soup Kitchen is always on the fourth Saturday. However, some months the Food Pantry will be on the third Thursday to coincide with the fourth Saturday Soup Kitchen schedule."
1254,"Proof of address required:
1. Accepted documents include a utility bill or ID.
2. If you live in a shelter, a shelter letter is accepted.
3. If you are referred by social services, a referral on official letterhead is accepted.

* Volunteers needed
* First come, first serve until food runs out"
359,"* Must be registered on Plentiful App (https://www.plentifulapp.com/)
* Appointments required. Please call: 718 731-6360
* Closed for the summer (July and August) every year..
* A to M on 1st Friday 
* N to Z on 2nd Friday
* Seniors 65+ on 3rd Friday"
ckxexc1nc098804130r2s00in,"- They give out tickets just before 8am and give out the food to people with tickets at 9:30am
- First come, first serve until food runs out
- Volunteers needed"
640,"The Jewish Community Council food pantry is normally on Thursdays, but the last Thursday was canceled due to snow and a late food delivery. As a result, they had a pantry on 'this Monday' starting at 9:30 AM until bags were distributed. There's a possible chance of another pantry on the 'Thursday of next week,' and people should call back on Wednesday to confirm. The pantry is small, distributing 350-400 bags. There are no ID requirements; IDs were waived and never reinstated. They offer groceries only, not refrigerated meals, including items like 1% milk, juice, rice, beans, canned corn, mixed vegetables, applesauce, and mixed fruit."
clifv4db7075so70hktm5cayo,- They work with volunteers and sometimes due to unforeseen circumstances they might not make it to open on some of the days stated.
ckxrvc8qx43733o1ycj2hun2h,Serves Hudson County.
1248,Food Pantry: 2nd and 4th tuesday of the Month: Starts at 11am- until supplies last
cl0net3v1000404yovz80wtyy,"Serves residents of the following zip codes: 11220, 11232, 11209, and 11219."
clh1tz1jl0002l10f2na970fb,"Previously ""Loaves & Fishes/Friendship Trays"". New name. Same mission.

This is an emergency food pantry that requires a referral. 

**How To Get A Referral:**
To get a referral please have the following information ready for each person in the household:
▪ First and Last Name
▪ Date of Birth
▪ Phone Number (if available)
▪ Current Address
▪ Gender
▪ Ethnicity
▪ Veteran Status (Y or N)
▪ Receiving Food Stamps/SNAP (Y or N)
▪ Household Income**
▪ Disability (Y or N)
▪ Email Address (if available)
▪ Date of Pick Up
▪ Preferred Pantry Location and secondary location in case the primary location is at capacity.

To access pop-up food shares for excess fresh items, no referral, ID or financial documents are required. Pre-registration is required to ensure there is enough food. Follow this link to see locations and register:  https://nourishup.org/foodshare/

Visit our website at https://nourishup.org/pantries/ under the food pantries tab for all of our location and hours."
ckygtld9d003104wuqrkvl1ct,- Should show up at 8am in the morning as the line is really long.
759,Requires ID for adults and birth certificates for children in the household
83,"- Friday schedules are not set unless the food is remaining over from Thursday. 
- Please call ahead to confirm if food is available on other days.
- Distribution at corner of Lydig and Barnes
- Open on hollidays
- Client can visit once a week
- Needs volunteers
- Will be given a Pantry ID upon registration"
1396,"-Every client need to pre-register on **friday from 8am to 12pm** to recive food after registration you will receive food.
-  St. Clement's Food Pantry is a pick-up and go bag of groceries
- The bags are packed by volunteers and given out to registered clients. 
- When clients register they need to give a name but no address, and the number of people in the family. Bags are packed for family of one, two, three,  then they are called to pick up the food.
- Picking up food for someone's behalf is allowed, just bring a photo copy of the ID of the person.
- The address is 423 W. 46th Street, between 9th and 10th Ave.
- Thursday schedule is only for registered clients; Friday and Saturday schedule allows new clients to register and pick up food."
1532,Halal Hot Meals and Fresh produce
cli6bevv706t3pi0grfo5p2qj,"Tickets are given out before distribution begins.
They are at capacity and can not accept any more clients 

On-site registration required"
cldlwua6k0000l80fxa2klwgw,Clients can visit once a week
617,"Starts handing out tickets from 6am-7am

On-site registration required"
cli972rn00272t50hehokhupy,"North Carolina Food and Nutrition Services (formerly Food Stamps) are available for all households with limited income and resources.
There are three ways to apply for Food and Nutrition Services (Food Stamps):
*Apply Online with ePASS: https://epass.nc.gov/
*Apply in Person at your county Department of Social Services (DSS) office: https://www.ncdhhs.gov/localDSS
*By Mail or Turn in at Local DSS Office - Fill out a paper application form and mail to or drop it off at your local county DSS office.
Learn more at https://www.ncdhhs.gov/divisions/child-and-family-well-being/food-and-nutrition-services-food-stamps
Need Interpreter Services? Call 866-719-0141"
ckytnxbzl178613hvsgaw6q1tb,"*Registration will start at 9 am and food distribution will start at 1pm
* Diapers aavailable, but parent must register before the 3rd Thursday of the month.

On-site registration required"
954,"Food distribution on Wednesday's is for seniors only
Tickets are given on site"
1480,"Effective immediately, all clients are required to have the following in order to take part in the Food Pantry distribution.
Up to date state ID with picture and address. The address must be from the Borough of The Bronx (Should your ID not have a current address The Bronx; you must provide a utility bill in your name with The Bronx address)
Once registered, you will get a client card, which you must bring every month. Should you lose or forget your client card, you must provide a proper ID to receive service.
All addresses and all household members (including spouses and children) must
be registered and updated in full, or service will be refused. It is only one card per household
If you are a Home attendant, you must bring your home attendant's ID and clig ID.
Please bring a shopping cart for your convenience. 
Please wear a mask and keep the social distance. The Food Pantry is only once a month per household"
cle82f0fo02sn0d02x0ixb7zn,Food pantry is only by appointment https://signup.com/client/invitation2/secure/65983176057/false#/invitation Sign up with this link to book your appointment with day and time for food or text to 240) 461-9442 for appointment
clhw9n5dh0mmkn10g2pcaqmiy,"The food distribution will be after the church service.
 Advised to please attend service as food is distributd after service nd might run out."
ckxexc1kh03980413a3k153zk,"They do not serve Queens or any of the following zip codes in Brooklyn/the Bronx: 11206 11208 11210 11214 11215 11221 11226 10463 10452 10453 10459 10460 10461 10465

Volunteer network delivering groceries. You can prepay for the order, reimburse them, or ask them to visit a free food pantry on your behalf. For a food pantry pickup, include the pantry name & contact info in the ""Order"" section. In the ""Notes"" section, include pantry hours & any other relevant pickup or delivery instructions. Reimbursement type would be ""Order ahead""."
clgibm1se000kmq0fccukvsls,"First Call 211 for help to get a referral and follow the prompt for food assistance.  You can receive food twice a year.
Social workers in hospitals can also help you in getting a referal."
ckxi31ird003204vzxwyc31yv,Advised to arrive early; may have long lines
ckyenuvxk001o04vt3r3kd9rv,Suggested donation
cle82frfl048n0d02b7lu3q7c,On-site registration required
clr6rt4oa1z371gs8aowh6v5j,"Located behind H.O.P.E Outlet & Victory in Christ Ministries in H.O.P.E Plaza
Optional $10 donation towards the pantry"
1461,Advised to come early to receive a ticket
42,"* Offers free home care with help from Medicare and Medicaid
* Walk-ins accepted
* No requirements
* Offers job traning and assiistance
* Needs volunteers
* Clients can visit once a week
* Fist come, first serve until food runs out"
1161,"Only serves Zip code: 11223
Register for call back: https://sbhonline.org/general-referral/
Book Appointment: https://outlook.office365.com/book/CentralizedIntakeBookingPage@sbhonline.org/?ismsaljsauthenabled=true

On-site registration required"
cle8fm77f0000mh0fynqh2hvo,Sometimes offer Job referrals.
cl0rp4w5z001404pa2cjctxmo,- Tickets are given from 8:30 am then food is given after to those with tickets. Call every month to check schedule
cle9m0uj70000lf0fwxych7ca,"Full food pantry available that requires an intake process with a caseworker.

On-site registration required"
clv5cggok0976zzxk0hkt4c4a,On-site registration required
cle82f9q703c10d02uhq3clq8,"By Appointment Only (Monday through Friday) call to make appointment 240)-450-2092

State ID required

Open to Maryland residents"
cky24mnlk002104tnemim90na,"- Zip codes served: 19135, 19136, 19154, 19149, 19124
- We ask that if you don't speak English that you have a way to interpret it in your language. 
- Current PA State I.D.
- Proof of address
- Closed during inclement weather on the day of distribution and resume the following Wednesday
- Open every second and fourth Wednesday of the month

State ID required"
clrxrpbhr1ostegxuol1dubsl,"Feast of Justice serves 11 Northeast Philadelphia zip codes: 19111, 19114, 19115, 19116, 19120, 19124, 19135, 19136, 19149, 19152, and 19154. 
* **You are only qualified to register if you live in one of these zip codes.** 
* The registration is for the full household; there can be only one registration per household.
* There is NO income requirement to be able to receive food at Feast of Justice. 
* ID is recommended to expedite the registration process, but not required.
* Guests can get food 1 time each month.
* If you are registered for our Feast of Justice 3101 Tyson Ave location, you do not need to register again. (You can visit either location, but you can only get food from one of our locations each month).

**Action steps to take - visit https://www.feastofjustice.org/registration** to view: 
1.  up-to-date information about how to get registered
2. a **link to complete the online application**
3.  **registration hours specific to first-time guests**
4. It is recommended to schedule a registration appointment; walk-ups are served after appointments, on a first-come, first served basis during registration hours."
117,"Appointments are given in 20-minute intervals. Only 180 appointments are given weekly.

To schedule an appointment, community members must call 646.596.1316 every Wednesday between 9 a.m. and 5 p.m."
cldv7fn85023uw502hckmt8q1,"The line usually starts forming around 3–4 AM. Tickets are released at 7 AM, and food distribution runs from 9 AM to 12 PM, but this still depends since it’s first come, first served until food runs out.

The pantry has moved to the convent across the street. The previous building was sold and is now under construction. The new location is 2250 Ryer Avenue.

They suggest coming before 7 AM. If there are leftovers, they may still give food, but if none remain, they won’t be able to distribute anything anymore."
201,"Recommended to sign up by 1 pm.
https://www.facebook.com/CityofFaithChurchofGod"
124,On-site registration required
